TF_count,combination,R,R_squared,RMSE,N,file
3,ATF7_CREB1_CREB3,0.7771093499085009,0.6038989417152129,0.28811000483162347,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_26_ATF7_CREB1_CREB3_rate_invert.txt
3,ATF7_CREB1_CREB5,0.7975575503301393,0.6360980460886126,0.2691126717585134,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_27_ATF7_CREB1_CREB5_rate_invert.txt
3,ATF7_CREB1_CREM,0.8435134885266126,0.7115150053263357,0.24230293375783477,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_28_ATF7_CREB1_CREM_rate_invert.txt
3,ATF7_CREB3_CREB5,0.7570235620250778,0.5730846734611368,0.3023273268533384,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_29_ATF7_CREB3_CREB5_rate_invert.txt
3,ATF7_CREB3_CREM,0.7777039239767911,0.6048233933688985,0.2778879555080383,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_30_ATF7_CREB3_CREM_rate_invert.txt
3,ATF7_CREB5_CREM,0.7941735681673092,0.6307116563755958,0.2714326458213485,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_31_ATF7_CREB5_CREM_rate_invert.txt
3,CREB1_CREB3_CREB5,0.7880805417918526,0.6210709403509399,0.2785201693419456,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_32_CREB1_CREB3_CREB5_rate_invert.txt
3,CREB1_CREB3_CREM,0.8396601123218916,0.7050291042244117,0.2371386608242533,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_33_CREB1_CREB3_CREM_rate_invert.txt
3,CREB1_CREB5_CREM,0.8333503870339943,0.6944728675697082,0.2503790923959524,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_34_CREB1_CREB5_CREM_rate_invert.txt
3,CREB3_CREB5_CREM,0.7089730535299269,0.5026427906315486,0.31693477809306375,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_35_CREB3_CREB5_CREM_rate_invert.txt
