TF_count,fit_level,combination,R,R_squared,RMSE,N,file
4,medium,CREB1-ATF1-ATF4-ATF7,0.8297601457782215,0.6885018995218954,0.2552813101732305,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-ATF1-ATF4-ATF7_medium_seed840020_rate_invert.txt
4,medium,CREB1-CREB3-ATF1-ATF4,0.8471255472199151,0.7176216927526405,0.24208145160751793,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-ATF1-ATF4_medium_seed840008_rate_invert.txt
4,medium,CREB1-CREB3-ATF1-ATF7,0.8378045040387644,0.7019163869876399,0.24892629664637764,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-ATF1-ATF7_medium_seed840009_rate_invert.txt
4,medium,CREB1-CREB3-ATF4-ATF7,0.8540793113436266,0.7294514700652034,0.23818876619586649,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-ATF4-ATF7_medium_seed840010_rate_invert.txt
4,medium,CREB1-CREB3-CREB5-ATF1,0.8296047201054051,0.6882439916211676,0.26775570196810133,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-CREB5-ATF1_medium_seed840002_rate_invert.txt
4,medium,CREB1-CREB3-CREB5-ATF4,0.7734112192629905,0.5981649140818656,0.309392352000063,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-CREB5-ATF4_medium_seed840003_rate_invert.txt
4,medium,CREB1-CREB3-CREB5-ATF7,0.7854001608708427,0.6168534126959456,0.2885561394924341,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-CREB5-ATF7_medium_seed840004_rate_invert.txt
4,medium,CREB1-CREB3-CREB5-CREM,0.8555662855081977,0.7319936688982949,0.23612791839458877,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-CREB5-CREM_medium_seed840001_rate_invert.txt
4,medium,CREB1-CREB3-CREM-ATF1,0.837963274266323,0.7021824490191368,0.239167052539764,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-CREM-ATF1_medium_seed840005_rate_invert.txt
4,medium,CREB1-CREB3-CREM-ATF4,0.8488872437126157,0.7206095525380019,0.23111949877625756,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-CREM-ATF4_medium_seed840006_rate_invert.txt
4,medium,CREB1-CREB3-CREM-ATF7,0.8623402390951868,0.7436306879627439,0.22970287898958727,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB3-CREM-ATF7_medium_seed840007_rate_invert.txt
4,medium,CREB1-CREB5-ATF1-ATF4,0.7796049263495466,0.6077838411884819,0.2757293787010382,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB5-ATF1-ATF4_medium_seed840014_rate_invert.txt
4,medium,CREB1-CREB5-ATF1-ATF7,0.8522563330906372,0.7263408572930992,0.23813743642301569,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB5-ATF1-ATF7_medium_seed840015_rate_invert.txt
4,medium,CREB1-CREB5-ATF4-ATF7,0.8609414471484043,0.7412201754179886,0.2250389054793897,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB5-ATF4-ATF7_medium_seed840016_rate_invert.txt
4,medium,CREB1-CREB5-CREM-ATF1,0.8450969937558886,0.7141889288552405,0.24837032346353732,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB5-CREM-ATF1_medium_seed840011_rate_invert.txt
4,medium,CREB1-CREB5-CREM-ATF4,0.8288023335105413,0.6869133080325186,0.2448854358717375,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB5-CREM-ATF4_medium_seed840012_rate_invert.txt
4,medium,CREB1-CREB5-CREM-ATF7,0.85197763541539,0.7258658912479992,0.2362973811440573,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREB5-CREM-ATF7_medium_seed840013_rate_invert.txt
4,medium,CREB1-CREM-ATF1-ATF4,0.8334220990319194,0.6945923951547706,0.24394763206668438,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREM-ATF1-ATF4_medium_seed840017_rate_invert.txt
4,medium,CREB1-CREM-ATF1-ATF7,0.8611020397981444,0.741496722944525,0.24220138034191271,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREM-ATF1-ATF7_medium_seed840018_rate_invert.txt
4,medium,CREB1-CREM-ATF4-ATF7,0.8528489817278174,0.727351385634175,0.23871697802915418,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\4TF_medium\friend_4TF_CREB1-CREM-ATF4-ATF7_medium_seed840019_rate_invert.txt
